R4A_Id	CompoundID	PLD_Effect(%)_A549-ACE2	Label_A549-ACE2	HIT_Phospholipidosis  Y/N	CompoundID_dupl	NAME	PLD_Effect(%)_VERO-E6	Label_VERO-E6
R4A_0001762_001	SPE_A54490543	0.452874826	inactive	N	SPE_A54490543	pirlindole	51.51	active
R4A_0004935_001	SPE_K28007504	0.826960706	active	Y	SPE_K28007504	Ro-60-0175 fumarate	50.67	active
R4A_0000110_001	SPE_K59711701	0.983959989	active	Y	SPE_K59711701	ORY-1001 (RG-6016) 2HCl	65.68	active
R4A_0002277_001	SPE_K44400149	0.835674706	active	Y	SPE_K44400149	PhiKan-083	73.26	active
R4A_0000411_001	SPE_K47659338	0.791434283	active	Y	SPE_K47659338	EMD-386088	96.78	active
R4A_0001262_001					SPE_K36732695	Setiptiline	52.71	active
R4A_0003273_001	SPE_K91263825	0.052453435	inactive	N	SPE_K91263825	NORTRIPTYLINE HYDROCHLORIDE	64.42	active
R4A_0003620_001	SPE_K61734568	-0.070279217	inactive	N	SPE_K61734568	"2,3-DCPE"	55.39	active
R4A_0003594_001	SPE_K18779551	0.988741094	active	Y	SPE_K18779551	bifemelane	74.49	active
R4A_0001988_001	SPE_K42348709	0.513469692	inactive	N	SPE_K42348709	CYCLOBENZAPRINE HYDROCHLORIDE	71.09	active
R4A_0003591_001					SPE_K25433859	MAPROTILINE HYDROCHLORIDE	107.45	active
R4A_0005440_001	SPE_K89055274	0.637472069	active	Y	SPE_K89055274	ALVERINE CITRATE	58.85	active
R4A_0003398_001	SPE_A46335897	0.964679585	active	Y	SPE_A46335897	PROMETHAZINE HYDROCHLORIDE	55.44	active
R4A_0002001_001	SPE_K62289640	0.008045649	inactive	N	SPE_K62289640	lylamine	80.55	active
R4A_0001878_001	SPE_K28143534	0.049571033	inactive	N	SPE_K28143534	CYPROHEPTADINE HYDROCHLORIDE	77.27	active
R4A_0000109_001	SPE_A17428743	0.116035989	inactive	N	SPE_A17428743	BW-723C86	55.23	active
R4A_0004089_001	SPE_K01649396	0.109926596	inactive	N	SPE_K01649396	indatraline	71.1	active
R4A_0003396_001	SPE_K62398570	0.229385057	inactive	N	SPE_K62398570	Lerisetron	51.91	active
R4A_0000199_001	SPE_A52660433	-0.018236276	inactive	N	SPE_A52660433	tetrindole	84.18	active
R4A_0004692_001	SPE_A79769222	1.080183129	active	Y	SPE_A79769222	norfluoxetine	62.25	active
R4A_0005355_001	SPE_K71103788	0.914514938	active	Y	SPE_K71103788	DULOXETINE HYDROCHLORIDE	92.59	active
R4A_0005215_001					SPE_K53963539	VORTIOXETINE HYDROBROMIDE	57.27	active
R4A_0000169_001	SPE_K17008822	0.624954199	active	Y	SPE_K17008822	BD-1008	51.3	active
R4A_0005488_001	SPE_K41662846	0.929816852	active	Y	SPE_K41662846	tecalcet	70.08	active
R4A_0004448_001	SPE_K70464547	-0.076952316	inactive	N	SPE_K70464547	SERTRALINE HYDROCHLORIDE	56.06	active
R4A_0003868_001	SPE_A25043798	0.026718571	inactive	N	SPE_A25043798	casin	89.37	active
R4A_0000577_001	SPE_K28542495	0.652434483	active	Y	SPE_K28542495	BENZYDAMINE HYDROCHLORIDE	51.25	active
R4A_0003836_001	SPE_A31159102	1.086969644	active	Y	SPE_A31159102	FLUOXETINE HYDROCHLORIDE	54.32	active
R4A_0001975_001	SPE_A42423104	0.816018164	active	Y	SPE_A42423104	Benproperine Phosphate	71.97	active
R4A_0002570_001	SPE_A33711280	-0.067661854	inactive	N	SPE_A33711280	metixene	74.21	active
R4A_0001916_001	SPE_K10042277	0.895080929	active	Y	SPE_K10042277	desmethylclozapine	77.73	active
R4A_0000505_001					SPE_A16311756	profenamine	63.93	active
R4A_0001634_001	SPE_A77091532	-0.01829451	inactive	N	SPE_A77091532	AT13148	63.12	active
R4A_0003629_001					SPE_K02265150	AMOXAPINE	69.96	active
R4A_0004656_001	SPE_A22769835	0.695569331	active	Y	SPE_A22769835	Homochlorcyclizine?2HCl	82.45	active
R4A_0004781_001					SPE_K36207157	CHLORPROTHIXENE HYDROCHLORIDE	51.07	active
R4A_0000067_001	SPE_A22267103	0.538868668	active	Y	SPE_A22267103	DROFENINE HYDROCHLORIDE	52.04	active
R4A_0005439_001	SPE_K89997465	-0.143938279	inactive	N	SPE_K89997465	CHLORPROMAZINE HYDROCHLORIDE	103.96	active
R4A_0004068_001	SPE_K71603915	0.515216578	inactive	N	SPE_K71603915	Encenicline hydrochloride	100.02	active
R4A_0001246_001	SPE_K70490179	1.089806971	active	Y	SPE_K70490179	rimcazole	99.92	active
R4A_0001425_001	SPE_A67616246	0.312146342	inactive	N	SPE_A67616246	levomequitazine	71.57	active
R4A_0002964_001					SPE_K53236343	aprindine	51.88	active
R4A_0003152_001	SPE_K92588747	0.92454935	active	Y	SPE_K92588747	2-CMDO	61.31	active
R4A_0000740_001	SPE_K68982262	0.522407056	active	Y	SPE_K68982262	A-987306	70.68	active
R4A_0000509_001	SPE_K65924316	0.883822332	active	Y	SPE_K65924316	JNJ 26854165 (Serdemetan)	73.97	active
R4A_0004528_001					SPE_K35559145	levomepromazine	52.97	active
R4A_0000979_001	SPE_A80908310	0.725191512	active	Y	SPE_A80908310	CLOPERASTINE HYDROCHLORIDE	63.93	active
R4A_0002084_001	SPE_K22749967	0.674090735	active	Y	SPE_K22749967	ABT 239 tartrate	66.83	active
R4A_0004294_001	SPE_K17743697	0.412298299	inactive	N	SPE_K17743697	KB-R7943	70	active
R4A_0000829_001	SPE_A63546914	0.609776663	active	Y	SPE_A63546914	Ro-04-5595	64.05	active
